54,Felisiak-Piechna S.A.,284-871-55-96,2020-08-05,2015-11-11,Dobra,15
55,Miszkiewicz Sp. z o.o. Sp.k.,865-303-25-52,2023-08-28,2015-05-28,Średnia,32
56,Feret-Lindner s.c.,718-397-17-32,2023-05-24,2019-06-22,Bardzo dobra,47
57,Kubina-Wyskiel Sp.j.,365-319-58-64,2021-08-13,2017-11-06,Średnia,18
58,Palak s.c.,039-775-08-66,2021-06-04,2018-04-28,Średnia,45
59,PPUH Windak-Berus Sp. z o.o.,428-103-87-65,2020-09-26,2015-09-15,Zła,35
60,Andruszko Sp.j.,588-018-26-36,2020-11-18,2015-02-22,Zła,46
61,Spółdzielnia Osman Sp. z o.o.,293-641-38-20,2021-01-15,2016-02-19,Zła,8
62,Grupa Margas,629-140-77-24,2023-05-15,2017-02-07,Średnia,31
63,Spółdzielnia Pikor,129-990-03-26,2020-05-01,2018-07-01,Dobra,32
64,Pałęga Sp.j.,819-143-29-23,2022-06-14,2024-01-05,Bardzo dobra,30
65,PPUH Woda,912-386-25-53,2022-05-30,2021-11-12,Zła,17
66,Grupa Walus i syn s.c.,673-515-85-95,2021-11-19,2017-03-04,Bardzo dobra,37
67,Spółdzielnia Chaberek s.c.,398-835-29-98,2019-11-02,2021-02-01,Średnia,3
68,Halama-Winnik s.c.,128-365-03-35,2023-09-13,2017-08-11,Średnia,41
69,Szałas Sp. z o.o.,409-525-22-03,2022-09-12,2019-01-29,Dobra,15
70,Zawiasa Sp. z o.o. Sp.k.,156-944-98-44,2023-12-17,2021-12-10,Zła,16
71,Gabinety Łaciak Sp.k.,125-829-33-48,2022-07-05,2020-01-25,Dobra,17
72,Fundacja Wawrzynkiewicz s.c.,123-275-78-34,2020-08-07,2015-07-26,Bardzo dobra,28
73,FPUH Wabik,234-865-91-92,2022-09-27,2019-12-17,Dobra,24
74,Gabinety Zamora,402-049-23-71,2022-07-03,2021-07-25,Dobra,31
75,Łyskawa i syn s.c.,329-045-12-88,2024-09-24,2018-01-30,Średnia,9
76,Cibor i syn s.c.,789-124-40-95,2023-03-27,2018-11-13,Dobra,17
77,Fundacja Sutor-Kuziora Sp.j.,152-642-96-54,2023-11-26,2018-07-04,Bardzo dobra,11
78,Grupa Sadlik-Dziadkowiec Sp.j.,402-031-39-31,2023-05-25,2017-08-23,Średnia,20
79,Gabinety Kurzak i syn s.c.,126-374-72-66,2023-03-21,2015-11-07,Średnia,17
80,Spółdzielnia Fechner Sp.k.,637-869-23-92,2022-05-25,2021-07-17,Zła,6
81,Spółdzielnia Kanarek,257-649-66-52,2020-09-28,2015-09-03,Średnia,7
82,Fundacja Ornat i syn s.c.,585-553-01-23,2023-10-10,2024-03-19,Średnia,32
83,Grupa Kiryluk,450-241-50-58,2023-01-21,2020-06-22,Bardzo dobra,15
84,PPUH Sudnik,055-667-24-60,2024-04-05,2018-11-29,Zła,43
85,Gabinety Wacław Sp. z o.o. Sp.k.,047-771-08-70,2024-10-10,2023-02-09,Średnia,13
86,Rudolf Sp.j.,303-142-35-82,2024-03-10,2017-12-15,Bardzo dobra,19
87,FPUH Krajniak-Lewicz i syn s.c.,191-422-86-32,2019-11-03,2022-09-02,Dobra,42
88,Stowarzyszenie Mazik,935-887-49-21,2020-06-23,2018-03-23,Bardzo dobra,31
89,Chwedczuk Sp. z o.o. Sp.k.,749-335-42-50,2022-09-17,2016-10-06,Dobra,12
90,Beśka S.A.,822-814-90-96,2023-08-10,2017-09-28,Zła,8
91,Grupa Romaniak,156-314-73-41,2020-03-10,2018-08-15,Bardzo dobra,43
92,FPUH Pałac Sp.k.,421-617-98-00,2020-01-29,2015-12-31,Zła,8
93,Fundacja Fiutak Sp.k.,049-166-46-10,2021-11-16,2019-03-14,Bardzo dobra,39
94,Gabinety Orwat Sp. z o.o.,217-989-44-19,2020-08-28,2015-12-31,Średnia,19
95,Stowarzyszenie Surdyk Sp.k.,193-801-24-60,2022-01-14,2017-06-02,Średnia,23
96,PPUH Władyka,211-910-42-26,2020-04-01,2020-11-19,Bardzo dobra,6
97,PPUH Kowaluk-Łyskawa Sp.j.,692-968-56-31,2024-01-14,2020-02-25,Średnia,35
98,Grupa Myszk-Cywka S.A.,396-076-46-05,2021-10-24,2022-02-06,Średnia,40
99,Gabinety Jasnoch,706-820-85-71,2022-05-30,2023-12-17,Zła,32
100,Łokietek-Wąsala Sp. z o.o. Sp.k.,805-102-42-28,2021-11-15,2018-10-13,Zła,20
101,Fundacja Zbroszczyk-Tasarz Sp. z o.o.,075-401-11-63,2024-02-10,2018-02-07,Zła,22
102,FPUH Czermak Sp.j.,976-798-31-72,2023-07-17,2016-09-09,Średnia,33
103,Stowarzyszenie Ryszkiewicz-Szczepan S.A.,477-068-37-80,2022-03-02,2016-04-04,Bardzo dobra,17
104,FPUH Trzyna,134-933-43-77,2022-05-13,2020-11-01,Średnia,49
105,Błaszyk-Wawrzonek Sp.j.,982-043-98-01,2020-12-25,2018-08-18,Średnia,17
106,PPUH Witas,727-070-24-95,2021-08-06,2024-05-21,Średnia,16
107,Gabinety Opas Sp. z o.o.,176-359-62-61,2021-05-02,2018-12-22,Zła,26
108,PPUH Opas-Roter s.c.,794-638-76-23,2024-01-17,2022-12-30,Średnia,36
109,Fundacja Jewuła i syn s.c.,895-308-68-96,2023-08-07,2014-12-31,Średnia,5
110,Grupa Wójcikiewicz,655-267-50-92,2024-09-03,2019-07-09,Dobra,20
111,FPUH Przewoźniak Sp.j.,556-003-20-88,2021-11-11,2024-05-21,Bardzo dobra,27
112,Czerniakiewicz Sp. z o.o. Sp.k.,642-407-46-03,2020-11-07,2019-06-05,Dobra,46
113,Lampart-Rzeszutko Sp. z o.o. Sp.k.,228-558-04-95,2024-03-01,2020-08-15,Średnia,14
114,Gabinety Frost,217-016-90-26,2020-02-22,2022-07-19,Średnia,34
115,Grupa Korniak Sp.k.,047-160-96-47,2022-12-26,2018-12-17,Zła,37
116,Wereda-Faryna S.A.,912-790-94-87,2022-01-14,2018-04-08,Dobra,49
117,Stowarzyszenie Roszkiewicz,447-398-16-88,2020-03-23,2023-08-06,Dobra,22
118,Pindor-Kozdrój S.A.,326-524-08-98,2022-05-13,2017-09-19,Zła,35
119,PPUH Kryk Sp. z o.o.,945-328-10-05,2019-11-16,2022-02-12,Średnia,23
120,Stowarzyszenie Kapustka i syn s.c.,041-850-37-55,2022-01-23,2021-07-16,Dobra,15
121,Gabinety Gerlach-Dzierżak s.c.,675-529-07-74,2023-07-15,2016-12-02,Średnia,22
122,Stowarzyszenie Kazana-Borysiak S.A.,939-350-92-62,2020-10-27,2020-09-09,Dobra,43
123,Gabinety Idec-Sławik s.c.,436-458-80-82,2020-06-02,2023-04-14,Zła,18
124,Fundacja Leks-Chatys Sp. z o.o. Sp.k.,904-832-73-00,2020-03-17,2023-09-25,Średnia,7
125,Stowarzyszenie Drozda Sp. z o.o.,403-995-96-97,2024-04-04,2015-12-09,Dobra,16
126,Satora-Budniak Sp. z o.o. Sp.k.,159-965-28-59,2020-02-03,2015-07-26,Zła,13
127,Gadzała-Guściora Sp. z o.o.,180-959-93-64,2020-01-06,2022-12-13,Średnia,2
128,Budzich-Bieniak S.A.,243-790-89-85,2020-02-12,2020-02-01,Dobra,16
129,FPUH Wojtunik,178-032-28-49,2021-12-24,2015-04-11,Zła,43
130,Gabinety Adamiuk-Kornek Sp.j.,579-086-60-11,2020-07-12,2024-01-14,Zła,48
131,Suda s.c.,115-697-00-93,2023-10-04,2024-01-04,Zła,39
132,Grupa Rohde,052-241-17-65,2020-10-02,2018-10-17,Dobra,2
133,Bazylewicz-Salwin S.A.,040-724-52-20,2024-10-03,2019-10-24,Dobra,38
134,Juszczuk-Tekieli s.c.,267-368-49-80,2024-08-24,2022-02-13,Dobra,48
135,Gabinety Pacholak S.A.,474-744-03-70,2021-03-20,2022-12-04,Zła,2
136,Piguła i syn s.c.,697-805-42-13,2022-05-03,2015-03-29,Bardzo dobra,37
137,Chlipała-Niemira Sp. z o.o.,391-689-23-37,2023-07-31,2023-03-20,Zła,26
138,Stowarzyszenie Gebauer,619-093-80-69,2024-01-01,2019-12-07,Bardzo dobra,39
139,Kultys-Czerkies Sp.j.,959-750-28-22,2019-12-28,2022-01-11,Bardzo dobra,33
140,FPUH Merda i syn s.c.,140-059-90-86,2023-03-31,2015-08-12,Dobra,7
141,Bródka S.A.,545-469-55-99,2024-01-30,2017-08-12,Bardzo dobra,8
142,Arendarczyk-Lazarek Sp.j.,814-121-96-18,2020-06-15,2020-01-01,Bardzo dobra,9
143,Dworniczak Sp. z o.o.,991-576-36-91,2024-01-02,2022-03-03,Dobra,47
144,Grupa Ciaś i syn s.c.,501-394-06-71,2021-06-25,2017-04-21,Bardzo dobra,23
145,Fundacja Haponiuk,520-638-63-14,2023-09-15,2019-08-27,Średnia,49
146,Dulik Sp. z o.o. Sp.k.,986-734-37-38,2024-07-13,2020-10-16,Średnia,47
147,Bąbol-Gajdzik Sp.k.,844-801-53-18,2020-02-24,2023-01-24,Bardzo dobra,24
148,PPUH Smalec Sp.k.,020-545-95-48,2021-10-10,2022-08-11,Średnia,19
149,Horbacz-Rogacz S.A.,264-511-76-87,2020-02-27,2020-07-01,Bardzo dobra,7
150,Stowarzyszenie Maćczak i syn s.c.,825-945-61-67,2021-02-23,2024-01-26,Zła,32
151,Kopyść Sp. z o.o. Sp.k.,155-693-97-84,2020-11-03,2016-08-30,Zła,2
152,Mikosz Sp.j.,335-515-09-86,2024-01-10,2016-05-31,Zła,16
153,Durys i syn s.c.,667-645-49-21,2020-08-21,2022-10-17,Zła,34
154,Dąbrówka-Posmyk Sp.k.,819-455-87-31,2020-03-28,2017-03-05,Średnia,25
155,Fundacja Słupek-Małyszek s.c.,192-615-93-08,2020-05-03,2019-01-16,Dobra,4
156,Fundacja Opalach,679-491-66-47,2021-10-25,2021-08-08,Bardzo dobra,10
157,Becker-Bartela Sp. z o.o. Sp.k.,460-518-36-62,2021-11-30,2016-02-15,Zła,7
158,Grupa Godzwon-Gołofit Sp.k.,529-165-13-40,2021-11-05,2024-02-20,Dobra,4
159,FPUH Jamroży,740-234-60-09,2023-07-29,2017-04-23,Średnia,5
160,Gabinety Byzdra,727-351-97-88,2022-12-06,2024-02-14,Bardzo dobra,16
161,Stowarzyszenie Szyma Sp.k.,766-442-09-67,2022-03-26,2022-08-06,Dobra,35
162,Grupa Gogola Sp.k.,595-112-82-32,2021-08-09,2022-08-21,Dobra,49
163,Grupa Goj,759-239-84-68,2021-10-20,2015-05-06,Zła,35
164,Spółdzielnia Maszkiewicz,357-980-59-43,2022-09-24,2019-12-31,Dobra,33
165,Dziadkiewicz-Juraszczyk s.c.,982-563-14-79,2021-12-02,2021-04-24,Dobra,42
166,Karczmarz Sp. z o.o. Sp.k.,841-572-11-39,2024-01-22,2023-09-17,Średnia,24
167,Kuświk-Husak Sp.j.,921-827-87-86,2024-04-15,2021-09-16,Bardzo dobra,43
168,Spółdzielnia Raszkiewicz-Tereszkiewicz Sp. z o.o.,041-442-52-60,2022-02-16,2020-10-23,Średnia,49
169,Jarczak-Steinke Sp. z o.o. Sp.k.,801-707-99-32,2024-05-26,2016-12-30,Średnia,34
170,Słupik S.A.,957-147-37-59,2022-10-26,2021-11-12,Dobra,34
171,PPUH Molak,012-420-11-69,2021-07-05,2018-10-31,Bardzo dobra,4
172,Grupa Ligenza i syn s.c.,745-399-35-65,2023-08-23,2023-12-10,Średnia,14
173,Sakwa-Kajstura Sp.k.,127-627-83-39,2020-10-30,2022-11-11,Zła,5
174,Gabinety Fronczek-Podleśna i syn s.c.,246-684-73-88,2024-02-29,2018-12-30,Bardzo dobra,30
175,Stawinoga Sp.k.,505-956-14-00,2020-05-05,2023-06-09,Zła,22
176,Fundacja Rubacha,363-670-09-12,2020-03-07,2024-02-05,Zła,37
177,Gabinety Pyziak,160-182-86-14,2020-05-16,2018-03-30,Średnia,28
178,FPUH Kałek Sp.j.,513-007-62-51,2021-05-05,2020-09-09,Zła,2
179,PPUH Prystupa-Słysz Sp. z o.o. Sp.k.,813-304-20-54,2020-07-25,2022-04-03,Bardzo dobra,22
180,Grupa Bejma-Trzyna Sp.j.,051-417-84-57,2022-10-08,2019-02-18,Zła,18
181,Jarosiewicz-Boksa i syn s.c.,087-404-77-27,2024-01-05,2019-07-27,Zła,46
182,Stowarzyszenie Wasil-Zegar i syn s.c.,011-303-89-28,2021-07-17,2024-04-08,Dobra,1
183,Chochół-Front Sp. z o.o. Sp.k.,555-080-56-50,2023-01-09,2016-12-19,Dobra,35
184,FPUH Kolarczyk-Graś Sp. z o.o.,548-120-25-82,2021-03-06,2020-10-12,Zła,11
185,Fundacja Cader i syn s.c.,905-078-58-56,2023-11-02,2016-01-10,Zła,14
186,PPUH Hulbój,885-827-57-29,2022-12-11,2017-03-06,Średnia,41
187,FPUH Turlej,537-573-89-19,2022-11-21,2021-10-09,Średnia,30
188,Skoneczna-Frania i syn s.c.,121-255-75-91,2021-12-10,2023-10-19,Dobra,12
189,Hołota-Nyc Sp.j.,213-038-79-79,2021-05-16,2024-03-13,Dobra,31
190,PPUH Cogiel-Siemieńczuk Sp.j.,372-462-06-84,2023-04-09,2015-09-02,Bardzo dobra,14
191,FPUH Ułanowicz S.A.,685-045-71-04,2023-05-13,2022-12-22,Dobra,31
192,Stowarzyszenie Siewert s.c.,369-822-22-30,2019-12-20,2021-03-07,Średnia,9
193,Grupa Myga-Chorążewicz Sp.k.,260-714-99-60,2023-01-12,2018-06-10,Średnia,43
194,FPUH Gumieniak-Flisek s.c.,993-502-34-28,2020-04-01,2022-11-19,Dobra,39
195,Stowarzyszenie Kwapisiewicz,794-259-33-71,2022-08-11,2024-03-25,Dobra,1
196,Grupa Linkiewicz Sp.j.,688-622-63-14,2022-12-15,2019-08-24,Bardzo dobra,30
197,Gabinety Bubel-Mszyca Sp. z o.o. Sp.k.,957-834-39-94,2020-04-15,2022-05-27,Średnia,5
198,Gabinety Krzyśko-Kochman S.A.,301-790-13-38,2022-06-28,2017-03-08,Zła,4
199,Stowarzyszenie Koćwin Sp.k.,651-368-69-47,2023-06-07,2021-03-15,Zła,1
200,PPUH Szumiec-Dudzicz Sp.j.,261-097-06-35,2024-06-18,2016-11-10,Bardzo dobra,21
