136,PPUH Garczarek,122-598-19-09,2020-06-22,2022-07-29,Bardzo dobra,3,2023-03-24
137,FPUH Oleszczak-Piaścik s.c.,537-053-03-55,2019-12-28,2016-06-25,Zła,47,2023-08-23
138,Żybura-Borzym Sp.j.,937-425-10-76,2021-06-12,2015-04-30,Bardzo dobra,29,2023-10-05
139,Maraszek-Krysta Sp.j.,364-437-53-62,2023-10-06,2018-01-11,Dobra,4,2023-05-01
140,PPUH Bubel-Dumin i syn s.c.,083-609-25-95,2021-08-10,2024-03-22,Bardzo dobra,45,2023-10-26
141,FPUH Krzywonos Sp.k.,276-244-73-09,2024-03-30,2023-12-08,Średnia,30,2023-12-29
142,Stowarzyszenie Janasik Sp.k.,447-746-60-71,2021-10-08,2023-12-25,Dobra,33,2023-07-17
143,Sysło-Kopytko s.c.,517-613-46-92,2021-08-25,2015-03-12,Bardzo dobra,32,2023-04-01
144,Sołtan S.A.,387-891-36-11,2021-12-18,2020-09-14,Zła,30,2023-09-18
145,Stowarzyszenie Korpal-Sugier Sp. z o.o. Sp.k.,185-105-52-60,2021-03-10,2017-10-29,Zła,22,2023-09-17
146,Spółdzielnia Rogacz,686-377-19-93,2020-06-11,2020-12-23,Średnia,26,2023-08-12
147,Gierak i syn s.c.,083-320-95-57,2022-03-05,2022-01-12,Średnia,12,2023-10-15
148,FPUH Klimko i syn s.c.,880-533-12-81,2021-03-11,2018-11-08,Średnia,20,2023-09-10
149,Wolańczyk i syn s.c.,406-170-63-67,2022-06-16,2016-10-11,Średnia,4,2023-06-09
150,Wielgos-Galos i syn s.c.,952-171-57-56,2023-05-13,2022-12-09,Bardzo dobra,43,2023-07-10
151,Krystkowiak-Gajzler S.A.,128-718-22-09,2023-01-03,2018-08-22,Bardzo dobra,49,2023-04-02
152,Lindner-Grabas Sp.k.,033-519-57-12,2021-12-20,2018-08-15,Dobra,35,2023-02-02
153,Stowarzyszenie Guźniczak,810-695-15-40,2021-03-16,2022-12-03,Dobra,2,2023-01-30
154,Gorol s.c.,986-472-16-83,2020-09-03,2020-08-18,Dobra,16,2023-11-20
155,Grzejszczak Sp.k.,653-216-17-77,2020-01-19,2020-11-29,Bardzo dobra,24,2023-04-22
156,Fundacja Kurz-Brudny Sp.k.,524-442-42-60,2020-07-08,2021-09-15,Średnia,40,2023-06-26
157,FPUH Pietrak-Jagieło Sp.k.,014-449-29-71,2024-09-03,2020-09-12,Dobra,37,2023-01-04
158,Stowarzyszenie Thiel,770-816-70-77,2021-08-07,2021-07-07,Bardzo dobra,3,2023-03-14
159,Spółdzielnia Mrózek s.c.,493-164-34-38,2021-01-26,2020-01-22,Bardzo dobra,28,2023-10-16
160,Barej Sp. z o.o. Sp.k.,053-015-92-71,2023-05-05,2021-12-05,Dobra,39,2023-11-21
161,Strama Sp. z o.o.,916-882-38-34,2020-12-31,2024-10-05,Średnia,3,2023-09-27
162,Misztela i syn s.c.,899-050-77-20,2021-02-14,2019-10-12,Dobra,19,2023-11-29
163,Kawulok-Karsznia Sp.k.,177-387-16-95,2020-07-29,2023-08-20,Średnia,8,2023-02-07
164,Grupa Letkiewicz,987-563-68-96,2020-09-11,2015-10-26,Dobra,3,2023-10-21
165,Gabinety Sprycha Sp. z o.o.,712-948-48-44,2021-06-21,2016-01-02,Dobra,22,2023-05-25
166,PPUH Nyc-Polasik s.c.,626-711-00-51,2023-07-24,2014-11-07,Średnia,35,2023-02-02
167,Dobroń-Sygut Sp.k.,067-720-80-58,2019-12-21,2015-05-02,Dobra,12,2023-09-02
168,Spółdzielnia Gubernat s.c.,230-789-37-35,2021-07-25,2021-08-18,Średnia,50,2023-07-16
169,Tecław-Bruś S.A.,040-339-63-28,2021-01-07,2015-02-17,Bardzo dobra,37,2023-06-12
170,Fundacja Kajak,728-214-11-30,2023-10-29,2023-03-02,Zła,9,2023-12-08
171,Duszczyk Sp. z o.o.,522-223-75-77,2022-05-10,2016-09-09,Zła,33,2023-05-07
172,Matura-Macek Sp. z o.o.,617-770-94-20,2022-10-31,2019-05-02,Dobra,46,2023-05-07
173,Grupa Jamroży-Fitrzyk S.A.,023-718-20-97,2022-09-03,2016-04-15,Zła,31,2023-08-08
174,Fundacja Szwiec,666-033-43-73,2023-02-25,2016-07-04,Dobra,33,2023-09-14
175,FPUH Koczara,670-136-96-68,2023-04-19,2024-08-13,Średnia,36,2023-05-12
176,Skutnik Sp. z o.o.,233-456-90-46,2021-11-21,2022-04-22,Dobra,23,2023-09-05
177,Stowarzyszenie Gruchot Sp. z o.o. Sp.k.,545-870-18-63,2020-10-24,2018-06-20,Bardzo dobra,16,2023-05-23
178,Fundacja Uryga S.A.,763-170-19-08,2020-12-29,2017-04-23,Dobra,35,2023-08-03
179,Spółdzielnia Kukier-Ślipek Sp.k.,451-898-10-22,2023-02-22,2017-03-29,Bardzo dobra,6,2023-07-09
180,Uzar-Jachimczyk i syn s.c.,110-956-94-15,2021-04-05,2018-04-30,Zła,43,2023-06-03
181,Fundacja Wąsiewicz-Mrozowicz i syn s.c.,662-285-94-42,2023-12-06,2018-06-04,Dobra,6,2023-09-06
182,PPUH Faryna,469-383-35-88,2023-05-13,2017-01-16,Zła,14,2023-11-01
183,FPUH Sykut S.A.,644-706-31-78,2020-12-07,2017-07-15,Zła,49,2023-03-29
184,FPUH Lula Sp.j.,206-678-59-57,2022-06-17,2022-02-04,Bardzo dobra,46,2023-12-05
185,Grupa Godzwon,364-083-14-12,2023-08-07,2022-11-24,Średnia,11,2023-07-07
186,PPUH Garczarek,122-598-19-09,2020-06-22,2022-07-29,Zła,44,2023-12-03
187,FPUH Oleszczak-Piaścik s.c.,537-053-03-55,2019-12-28,2016-06-25,Bardzo dobra,18,2023-03-31
188,Żybura-Borzym Sp.j.,937-425-10-76,2021-06-12,2015-04-30,Średnia,20,2023-01-08
189,Maraszek-Krysta Sp.j.,364-437-53-62,2023-10-06,2018-01-11,Średnia,17,2023-01-04
190,PPUH Bubel-Dumin i syn s.c.,083-609-25-95,2021-08-10,2024-03-22,Bardzo dobra,9,2023-04-07
191,FPUH Krzywonos Sp.k.,276-244-73-09,2024-03-30,2023-12-08,Dobra,50,2023-01-04
192,Stowarzyszenie Janasik Sp.k.,447-746-60-71,2021-10-08,2023-12-25,Dobra,36,2023-05-13
193,Sysło-Kopytko s.c.,517-613-46-92,2021-08-25,2015-03-12,Bardzo dobra,6,2023-01-01
194,Sołtan S.A.,387-891-36-11,2021-12-18,2020-09-14,Zła,44,2023-04-03
195,Stowarzyszenie Korpal-Sugier Sp. z o.o. Sp.k.,185-105-52-60,2021-03-10,2017-10-29,Bardzo dobra,11,2023-11-19
196,Spółdzielnia Rogacz,686-377-19-93,2020-06-11,2020-12-23,Zła,47,2023-02-12
197,Gierak i syn s.c.,083-320-95-57,2022-03-05,2022-01-12,Zła,4,2023-12-06
198,FPUH Klimko i syn s.c.,880-533-12-81,2021-03-11,2018-11-08,Dobra,43,2023-06-10
199,Wolańczyk i syn s.c.,406-170-63-67,2022-06-16,2016-10-11,Zła,26,2023-10-28
200,Wielgos-Galos i syn s.c.,952-171-57-56,2023-05-13,2022-12-09,Zła,45,2023-06-01
