Ostrołęka,Ville,Ludowa,805,50,34-418
Oleśnica,Ville,Graniczna,94/95,14,16-657
Nowy Sącz,Ville,Harcerska,526,7,46-072
Grodzisk Mazowiecki,Ville,Morelowa,69,4,03-173
Suwałki,Ville,Krasińskiego,16/35,31,48-547
Świętochłowice,Ville,Skośna,992,11,21-454
Bielsk Podlaski,Ville,Prosta,455,44,79-432
Ostrowiec Świętokrzyski,Ville,Powstańców Wielkopolskich,04,40,49-297
Konin,Ville,Glówna,446,26,50-639
Krosno,Ville,Pułaskiego,44,41,80-994
Chorzów,Ville,Nałkowskiej,749,50,32-561
Nowy Sącz,Ville,Hutnicza,06,47,52-908
Nowa Ruda,Ville,Miła,877,9,88-527
Żory,Ville,Zakole,78/82,46,23-023
Lubin,Ville,Willowa,68,46,76-319
Jawor,Ville,Kołłątaja,09/15,31,08-410
Łowicz,Ville,Wspólna,12,9,59-366
Lubartów,Ville,Polna,824,34,77-054
Rzeszów,Ville,Truskawkowa,89/50,11,30-709
Ząbki,Ville,Jana Pawła II,01,6,78-861
Płońsk,Ville,Kilińskiego,91,29,87-841
Żyrardów,Ville,Kolonia,28,4,43-708
Rzeszów,Ville,Rózana,683,48,86-603
Skierniewice,Ville,Bolesława Krzywoustego,76/81,28,34-893
Bielsko-Biała,Ville,Okrzei,54,9,65-133
Elbląg,Ville,Popiełuszki,518,2,68-414
Gdańsk,Ville,Kołłątaja,36,36,42-956
Chełm,Ville,Makowa,01/21,28,86-389
Starachowice,Ville,Piastowska,799,49,23-885
Nowy Targ,Ville,Nowowiejska,22/31,8,57-034
Września,Ville,Pomorska,01/23,19,45-892
Gdańsk,Ville,Stycznia,831,22,85-459
Wałcz,Ville,Wrocławska,25/72,20,73-958
Pabianice,Ville,Jana Sobieskiego,31/40,44,50-224
Kościerzyna,Ville,Długa,344,47,89-898
Tczew,Ville,Orla,03/86,5,50-381
Ruda Śląska,Ville,Słoneczna,532,47,79-480
Olkusz,Ville,Strumykowa,90/81,26,61-698
Środa Wielkopolska,Ville,Handlowa,969,44,94-820
Nysa,Ville,Kolorowa,423,50,74-184
Iława,Ville,Piastowska,36,22,65-096
Zawiercie,Ville,Poniatowskiego,09,6,37-400
Świnoujście,Ville,Rycerska,071,46,60-959
Malbork,Ville,Górska,576,42,73-082
Lublin,Ville,Maja,47,8,63-390
Jarocin,Ville,Matejki,85/80,50,45-965
Świętochłowice,Ville,Narutowicza,85/73,35,37-257
Kołobrzeg,Ville,Czereśniowa,78,18,97-801
Bartoszyce,Ville,Poprzeczna,162,34,69-695
Police,Ville,Poziomkowa,201,29,25-237
Rumia,Ville,Makuszyńskiego,85/89,6,72-389
Gdynia,Ville,Liliowa,99,11,27-774
Oleśnica,Ville,Kaszubska,181,37,01-406
Goleniów,Ville,Ludowa,28/51,32,86-895
Wałbrzych,Ville,Stefana Batorego,00/39,29,24-696
Głogów,Ville,Górna,739,37,84-853
Radom,Ville,Partyzantów,55,16,53-520
Siemianowice Śląskie,Ville,Promienna,340,21,51-034
Biłgoraj,Ville,Sadowa,64/73,50,64-811
Ostrów Wielkopolski,Ville,Jagiellońska,47,20,22-958
Świdnica,Ville,Borowa,25,39,03-114
Włocławek,Ville,Zapolskiej,104,19,44-110
Otwock,Ville,Kowalska,456,10,92-282
Żyrardów,Ville,Brzoskwiniowa,24/42,1,23-962
Kutno,Ville,Źródlana,11/46,9,13-068
Mielec,Ville,Miła,056,38,69-651
Opole,Ville,Bukowa,416,49,87-344
Ostrów Mazowiecka,Ville,Podleśna,68/24,38,73-505
Chrzanów,Ville,Działkowa,490,15,69-462
Wągrowiec,Ville,Jabłoniowa,449,10,37-044
Iława,Ville,Armii Krajowej,64,23,58-881
Kielce,Ville,Turkusowa,99,27,09-893
Polkowice,Ville,Maja,39/88,37,94-425
Grodzisk Mazowiecki,Ville,Sportowa,63/92,25,33-814
Zakopane,Ville,Akacjowa,76/02,15,27-488
Legionowo,Ville,Lawendowa,77/29,18,67-893
Chełm,Ville,Poznańska,23/85,35,91-457
Czeladź,Ville,Żabia,752,25,43-238
Grudziądz,Ville,Wypoczynkowa,738,35,21-365
Wieluń,Ville,Szymanowskiego,35/62,46,80-160
Oleśnica,Ville,Szarych Szeregów,448,31,80-211
Lubin,Ville,Łączna,73/43,18,70-146
Wągrowiec,Ville,Mieszka I,97,21,93-866
Starachowice,Ville,Morelowa,563,41,66-084
Brodnica,Ville,Nowowiejska,77/26,49,79-204
Przemyśl,Ville,Narcyzowa,63/65,27,67-921
Świnoujście,Ville,Łanowa,66,39,79-484
Radomsko,Ville,Rycerska,00/15,6,08-525
Słupsk,Ville,Kochanowskiego,553,33,11-626
Mława,Ville,Spacerowa,96/82,32,34-177
Nowy Dwór Mazowiecki,Ville,Kowalska,99,35,27-170
Zambrów,Ville,Kilińskiego,87,16,35-164
Marki,Ville,Wysoka,53/16,3,62-449
Zabrze,Ville,Stolarska,863,28,50-338
Zakopane,Ville,Cicha,00,8,45-737
Opole,Ville,Wiatraczna,81/17,16,49-119
Rzeszów,Ville,Ciasna,259,46,76-560
Sandomierz,Ville,Bolesława Krzywoustego,18,33,54-049
Rzeszów,Ville,Skrajna,313,8,72-694
Koło,Ville,Młyńska,233,13,15-942
Tczew,Ville,Daleka,40,30,73-237
Świnoujście,Ville,Polna,49/30,38,35-974
Czechowice-Dziedzice,Ville,Zachodnia,136,45,88-917
Żyrardów,Ville,Makowa,547,18,93-028
Puławy,Ville,Wiązowa,45/86,35,52-848
Biała Podlaska,Ville,Sportowa,02/09,18,04-165
Gorlice,Ville,Strzelecka,01,32,78-874
Poznań,Ville,Konwaliowa,76,26,94-656
Goleniów,Ville,Kolejowa,42,15,97-784
Kraśnik,Ville,Miarki,17,31,34-658
Głogów,Ville,Gdańska,53,1,10-634
Brzeg,Ville,Malinowa,79,8,65-393
Lubartów,Ville,Agrestowa,080,34,39-725
Kielce,Ville,Pszenna,64/30,19,44-929
Szczytno,Ville,Morcinka,39,22,15-425
Pszczyna,Ville,Maja,673,6,99-898
Nowy Targ,Ville,Cmentarna,05/69,33,97-055
Szczecinek,Ville,Słonecznikowa,48/45,16,31-198
Zgierz,Ville,Kamienna,04,49,04-022
Bydgoszcz,Ville,Fredry,376,8,34-811
Ostrowiec Świętokrzyski,Ville,Ściegiennego,984,20,84-378
Krotoszyn,Ville,Krokusowa,17/70,7,42-245
Tarnobrzeg,Ville,Kolorowa,329,23,36-964
Gdynia,Ville,Młyńska,14/99,17,98-803
Zawiercie,Ville,Krasińskiego,90/41,45,95-027
Gdańsk,Ville,Podgórna,44,26,65-880
Kluczbork,Ville,Wschodnia,92/33,19,53-139
Chorzów,Ville,Gdańska,71,50,91-316
Płock,Ville,Środkowa,593,28,80-127
Zamość,Ville,Leszczynowa,10/73,50,33-261
Wodzisław Śląski,Ville,Zdrojowa,11,13,91-572
Grodzisk Mazowiecki,Ville,Jastrzębia,18,45,90-141
Gdynia,Ville,Wilcza,574,46,51-688
Kraków,Ville,Skłodowskiej-Curie,41,38,05-100
Inowrocław,Ville,Orkana,07/67,13,11-401
Krosno,Ville,Tysiąclecia,329,40,48-701
Nowy Dwór Mazowiecki,Ville,Nałkowskiej,842,17,56-817
Nowa Sól,Ville,Wczasowa,76,21,71-829
Jastrzębie-Zdrój,Ville,Orzechowa,98/68,19,24-900
Zambrów,Ville,Kasprowicza,957,8,15-643
Gorlice,Ville,Krańcowa,76/46,50,42-206
Warszawa,Ville,Boczna,01/53,47,82-549
Wodzisław Śląski,Ville,Wojciecha,250,33,93-142
Siemianowice Śląskie,Ville,Miłosza,32/09,23,67-184
Pabianice,Ville,Truskawkowa,95/10,2,98-117
Biłgoraj,Ville,Pogodna,70/53,18,78-254
Zakopane,Ville,Żurawia,431,6,24-246
Bielawa,Ville,Szmaragdowa,23,2,53-550
Bielsk Podlaski,Ville,Prusa,10/14,7,30-771
Ostrołęka,Ville,Konwaliowa,30/76,44,28-346
Piotrków Trybunalski,Ville,Szpitalna,00/37,16,50-236
Mława,Ville,Brzechwy,36,43,77-064
Świdnica,Ville,Kościuszki,01/18,8,80-121
Łowicz,Ville,Kalinowa,966,38,41-447
Ciechanów,Ville,Poznańska,85,22,47-438
Świętochłowice,Ville,Średnia,891,7,91-586
Wałbrzych,Ville,Bema,76/96,37,92-617
Bochnia,Ville,Rajska,887,13,75-376
Sopot,Ville,Słonecznikowa,930,3,57-482
Stargard Szczeciński,Ville,Chmielna,42/57,7,51-803
Sandomierz,Ville,Górna,316,16,17-263
Białystok,Ville,Sawickiej,901,15,25-223
Starogard Gdański,Ville,Targowa,79,27,96-418
Suwałki,Ville,Podmiejska,84/28,24,79-085
Wałbrzych,Ville,Moniuszki,81,47,89-328
Sieradz,Ville,Ceglana,796,16,17-522
Zgierz,Ville,Północna,26/96,18,23-685
Stalowa Wola,Ville,Bydgoska,903,21,36-841
Poznań,Ville,Kwiatowa,52,16,77-947
Giżycko,Ville,Olchowa,45,32,55-949
Koszalin,Ville,Żeglarska,35/27,30,84-565
Świdnik,Ville,Stawowa,25,46,63-498
Łomża,Ville,Tulipanowa,58/17,46,09-473
Bielsk Podlaski,Ville,Kazimierza Wielkiego,76/56,22,71-498
Tomaszów Mazowiecki,Ville,Narutowicza,79,40,15-425
Nowy Sącz,Ville,Wiosenna,288,29,77-295
Sanok,Ville,Harcerska,03,15,91-074
Skarżysko-Kamienna,Ville,Akacjowa,501,6,81-004
Gdańsk,Ville,Nowowiejska,75,39,62-905
Ciechanów,Ville,Korczaka,974,36,54-932
Goleniów,Ville,Pałacowa,537,5,18-676
Łódź,Ville,Szymanowskiego,36/14,37,28-687
Swarzędz,Ville,Daszyńskiego,67/02,4,68-225
Kalisz,Ville,Kolejowa,160,50,45-020
Luboń,Ville,Urocza,69/57,34,11-343
Żory,Ville,Orzechowa,64,24,39-067
Jelenia Góra,Ville,Krasickiego,90/93,41,15-422
Grodzisk Mazowiecki,Ville,Klasztorna,36,47,66-638
Grodzisk Mazowiecki,Ville,Władysława Jagiełły,013,22,77-001
Pruszcz Gdański,Ville,Brzozowa,484,45,34-572
Bydgoszcz,Ville,Letnia,90/82,7,04-416
Wągrowiec,Ville,Armii Krajowej,67,34,22-873
Oświęcim,Ville,Cegielniana,146,25,48-075
Krosno,Ville,Szafirowa,02/86,34,10-238
Ruda Śląska,Ville,Jana III Sobieskiego,551,47,50-596
Bolesławiec,Ville,Wrocławska,82,27,60-572
Będzin,Ville,Częstochowska,606,8,82-983
Bytom,Ville,Malczewskiego,237,8,80-637
Rzeszów,Ville,Ceglana,21/06,1,20-120
Polkowice,Ville,Dworska,27,19,84-416
Bielawa,Ville,Sucharskiego,83/77,4,95-786
Olsztyn,Ville,Wierzbowa,853,16,22-111
Gorzów Wielkopolski,Ville,Stefana Batorego,573,46,25-764
Dąbrowa Górnicza,Ville,Średnia,174,32,03-037
Częstochowa,Ville,Wałowa,250,46,14-779
Słupsk,Ville,Czarnieckiego,86,15,66-261
Gliwice,Ville,Miarki,86/96,30,65-615
Świdnica,Ville,Boczna,57,14,25-486
Tychy,Ville,Wiatraczna,82,26,36-383
Tarnowskie Góry,Ville,Gałczynskiego,76,43,59-722
Skawina,Ville,Jesionowa,709,15,76-205
Mława,Ville,Handlowa,640,8,65-545
Kraśnik,Ville,Lipowa,764,30,99-701
Gorlice,Ville,Piłsudskiego,13/88,22,11-783
Lubliniec,Ville,Zamkowa,124,25,23-982
Cieszyn,Ville,Koralowa,08,3,45-528
Czeladź,Ville,Łanowa,38/94,43,38-689
Myszków,Ville,Orzechowa,58,40,07-854
Bochnia,Ville,Piekarska,12,3,56-864
Biała Podlaska,Ville,Akacjowa,62/36,43,37-278
Szczecinek,Ville,Rycerska,78,48,59-201
Piła,Ville,Towarowa,270,30,66-491
Płońsk,Ville,Powstańców Śląskich,133,24,93-412
Elbląg,Ville,Kreta,46,39,99-155
Brodnica,Ville,Piłsudskiego,605,1,81-768
Pszczyna,Ville,Jaworowa,33/85,8,30-568
Rybnik,Ville,Młynarska,284,13,59-419
Tomaszów Mazowiecki,Ville,Fabryczna,33/51,46,41-661
Świdnica,Ville,Średnia,422,37,20-685
Sieradz,Ville,Zapolskiej,43,18,36-732
Pszczyna,Ville,Kasprowicza,99/41,31,38-769
Swarzędz,Ville,Pogodna,035,43,63-528
Pruszków,Ville,Powstańców Śląskich,62,20,31-260
Jelenia Góra,Ville,Stycznia,29/49,47,25-593
Bełchatów,Ville,Gajowa,758,23,72-737
Piekary Śląskie,Ville,Tysiąclecia,19/59,3,17-055
Bolesławiec,Ville,Letniskowa,605,19,74-822
Ostrołęka,Ville,Ściegiennego,194,3,69-097
Bartoszyce,Ville,Średnia,52,36,95-809
Kołobrzeg,Ville,Prusa,16,16,66-079
Czeladź,Ville,Zbożowa,72/83,12,52-848
Jasło,Ville,Konopnickiej,692,5,16-976
Śrem,Ville,Willowa,50/76,48,75-926
Gdańsk,Ville,Nadrzeczna,22,18,07-534
Nowa Ruda,Ville,Jana,465,46,38-199
Skarżysko-Kamienna,Ville,Spokojna,765,18,58-945
Wejherowo,Ville,Chabrowa,221,25,16-801
Opole,Ville,Wyzwolenia,39,47,26-336
Jarosław,Ville,Kamienna,21/27,2,83-431
Dębica,Ville,Tylna,66,34,65-314
Skierniewice,Ville,Morcinka,924,15,04-097
Kłodzko,Ville,Kilińskiego,34/85,26,54-907
Turek,Ville,Konarskiego,070,43,08-718
Bielsk Podlaski,Ville,Drzymały,79,33,61-090
Starogard Gdański,Ville,Łąkowa,62,13,27-271
Cieszyn,Ville,Poziomkowa,51,8,01-716
Koło,Ville,Widokowa,13/70,14,08-525
Gdańsk,Ville,Kościelna,642,16,52-613
Wodzisław Śląski,Ville,Morcinka,56/78,37,57-937
Konin,Ville,Azaliowa,32/80,17,44-441
Lublin,Ville,Górna,06,31,71-008
Tczew,Ville,Krótka,84/02,1,72-104
Konin,Ville,Rejtana,96,17,23-841
Bytom,Ville,Błękitna,92/54,2,22-460
Nowa Sól,Ville,Cegielniana,96,14,87-784
Zambrów,Ville,Armii Krajowej,22/68,7,83-849
Żyrardów,Ville,Popiełuszki,25,7,23-381
Piła,Ville,Wypoczynkowa,793,19,90-456
Stalowa Wola,Ville,Wypoczynkowa,860,15,86-796
Łowicz,Ville,Głogowa,608,43,16-739
Białystok,Ville,Akacjowa,86/04,46,07-027
Tomaszów Mazowiecki,Ville,Zakole,145,26,22-933
Olsztyn,Ville,Torowa,56,47,85-164
Zielona Góra,Ville,Kossaka,574,12,62-591
Rumia,Ville,Lawendowa,85,18,98-648
Płońsk,Ville,Cmentarna,673,26,66-832
Gniezno,Ville,Zakątek,69,12,54-437
Elbląg,Ville,Grabowa,63/40,32,69-890
Warszawa,Ville,Agrestowa,858,24,51-835
Brzeg,Ville,Olchowa,65/98,29,11-050
Białogard,Ville,Szarych Szeregów,71,28,04-483
Konin,Ville,Czarnieckiego,97/01,36,42-754
Marki,Ville,Górska,445,8,04-975
Ostrów Wielkopolski,Ville,Stroma,950,14,49-886
Kluczbork,Ville,Opolska,83,41,64-338
Świebodzice,Ville,Żeglarska,72,29,82-193
Oleśnica,Ville,Wschodnia,13,31,62-747
Grudziądz,Ville,Skargi,767,36,73-630
Marki,Ville,Promienna,96/35,19,77-494
Reda,Ville,Morelowa,84,26,18-732
Lublin,Ville,Kilińskiego,41/10,46,79-453
Rybnik,Ville,Grottgera,808,32,66-916
Piastów,Ville,Letniskowa,11/28,23,86-713
Wołomin,Ville,Wysoka,03,21,40-191
Bartoszyce,Ville,Okrężna,207,50,28-596
Ełk,Ville,Broniewskiego,90,48,33-490
Bielawa,Ville,Hutnicza,93/01,15,22-140
Zamość,Ville,Starowiejska,244,25,74-517
Bydgoszcz,Ville,Przechodnia,23/45,29,82-790
Grodzisk Mazowiecki,Ville,Sawickiej,69,5,46-371
Katowice,Ville,Kamienna,514,38,91-197
Cieszyn,Ville,Tartaczna,158,5,32-473
Ruda Śląska,Ville,Olchowa,947,5,22-734
Wągrowiec,Ville,Wolności,947,43,95-600
Bielsk Podlaski,Ville,Pałacowa,78/99,36,76-512
Łowicz,Ville,Tęczowa,05/96,14,98-390
Piekary Śląskie,Ville,Batalionów Chłopskich,95/84,26,30-083
Sochaczew,Ville,Słowianska,46,41,16-527
Puławy,Ville,Zielna,95/21,45,47-691
Skierniewice,Ville,Błękitna,11,12,04-148
Legnica,Ville,Szarych Szeregów,10,10,70-134
Tomaszów Mazowiecki,Ville,Turkusowa,865,21,20-177
Rybnik,Ville,Warszawska,225,41,59-074
Łaziska Górne,Ville,Poznańska,40/27,3,36-295
Kraśnik,Ville,Magnoliowa,55/27,43,56-387
Szczecinek,Ville,Tysiąclecia,52/89,15,22-558
Lębork,Ville,Szymanowskiego,63/47,1,35-824
Wodzisław Śląski,Ville,Ptasia,924,19,21-953
Zielona Góra,Ville,Pogodna,02/18,23,80-866
Skierniewice,Ville,Wrocławska,94/52,3,53-947
Tychy,Ville,Irysowa,45,24,21-723
Grodzisk Mazowiecki,Ville,Kasztanowa,194,36,35-724
Katowice,Ville,Modrzewiowa,45/38,17,53-855
Marki,Ville,Okrężna,12/53,11,12-249
Czeladź,Ville,Rolnicza,866,24,68-163
Piekary Śląskie,Ville,Skrajna,95/86,9,87-611
Świdnica,Ville,Podmiejska,66/91,19,14-478
Opole,Ville,Partyzantów,07,44,53-986
Dąbrowa Górnicza,Ville,Bankowa,65/01,46,18-183
Kluczbork,Ville,Kosynierów,59/05,17,80-935
Wałbrzych,Ville,Żwirki i Wigury,893,33,74-156
Bydgoszcz,Ville,Kraszewskiego,89/40,30,39-114
Bydgoszcz,Ville,Bema,075,18,25-125
Otwock,Ville,Powstańców,842,34,77-637
Grodzisk Mazowiecki,Ville,Mokra,624,39,77-367
Ostrów Mazowiecka,Ville,Bolesława Krzywoustego,77,4,05-821
Ełk,Ville,Wiklinowa,23/14,6,67-250
Bolesławiec,Ville,Środkowa,62,43,92-930
Iława,Ville,Kazimierza Wielkiego,72,19,97-002
Płońsk,Ville,Śląska,73/76,11,82-759
Zgorzelec,Ville,Jana Sobieskiego,821,15,72-889
Siedlce,Ville,Rejtana,46,3,68-992
Myszków,Ville,Ściegiennego,539,35,35-548
Zawiercie,Ville,Zielona,11,29,19-291
Tarnowskie Góry,Ville,Jeżynowa,47/35,47,63-481
Nowy Targ,Ville,Partyzantów,17/99,31,81-511
Świętochłowice,Ville,Cedrowa,40,25,49-455
Lubliniec,Ville,Opolska,71,46,89-388
Czechowice-Dziedzice,Ville,Kossaka,381,32,88-449
Turek,Ville,Podgórna,38,49,79-190
Łaziska Górne,Ville,Rataja,20,40,65-653
Tarnobrzeg,Ville,Wiosenna,346,30,72-641
Częstochowa,Ville,Korczaka,53/77,2,36-431
Brodnica,Ville,Okulickiego,28/90,27,54-742
Jelenia Góra,Ville,Kossaka,83,46,48-903
Zgorzelec,Ville,Strumykowa,42,29,80-635
Brodnica,Ville,Fiołkowa,45,48,27-857
Stargard Szczeciński,Ville,Boczna,354,1,36-057
Kościerzyna,Ville,Witosa,41/85,43,64-066
Zabrze,Ville,Jana Sobieskiego,85,20,42-649
Łódź,Ville,Powstańców Wielkopolskich,30,16,54-849
Ostrów Wielkopolski,Ville,Czarnieckiego,341,33,54-847
Inowrocław,Ville,Lwowska,81/73,4,85-448
Śrem,Ville,Zacisze,882,14,78-037
Wrocław,Ville,Odrzańska,06,13,95-496
Czerwionka-Leszczyny,Ville,Piekarska,52,50,92-298
Kędzierzyn-Koźle,Ville,Przemysłowa,36,8,03-597
Tarnowskie Góry,Ville,Zbożowa,83/84,2,35-911
Rumia,Ville,Bukowa,50,9,01-148
Zabrze,Ville,Bociania,68,18,91-015
Kętrzyn,Ville,Torowa,20/23,42,49-935
Wągrowiec,Ville,Andersa,751,5,94-566
Jaworzno,Ville,Daszyńskiego,05,7,57-970
Kraków,Ville,Rubinowa,71,7,21-745
Konin,Ville,Tylna,91,38,18-061
Tomaszów Mazowiecki,Ville,Piłsudskiego,17/39,4,54-933
Tarnów,Ville,Opolska,016,25,65-059
Zambrów,Ville,Opolska,86,5,72-583
Częstochowa,Ville,Makowa,57,17,77-730
Opole,Ville,Lotnicza,85/28,48,37-618
Głogów,Ville,Kazimierza Wielkiego,279,47,36-205
Czerwionka-Leszczyny,Ville,Kopernika,03/63,8,87-373
Pruszków,Ville,Zakole,98/95,48,85-736
Opole,Ville,Maczka,107,35,33-826
Piaseczno,Ville,Nałkowskiej,099,34,28-554
Reda,Ville,Szafirowa,17/22,34,99-395
Kutno,Ville,Wierzbowa,48,5,69-792
Kołobrzeg,Ville,Władysława Łokietka,78/78,25,55-725
Sopot,Ville,Krakowska,78,19,11-166
Świętochłowice,Ville,Spółdzielcza,35/00,31,26-770
Września,Ville,Wschodnia,14,28,78-974
Siedlce,Ville,Towarowa,31,10,32-549
Jasło,Ville,Szewska,10,24,44-775
Żagań,Ville,Floriana,36/87,20,13-849
Łaziska Górne,Ville,Słoneczna,120,17,73-600
Białogard,Ville,Jarzębinowa,55,5,78-138
Iława,Ville,Mostowa,39,2,28-507
Pruszcz Gdański,Ville,Chabrowa,773,6,55-592
Świdnica,Ville,Malczewskiego,36/56,39,01-605
Chrzanów,Ville,Kwiatowa,29/59,8,19-001
Tychy,Ville,Torowa,03/61,48,15-162
Kętrzyn,Ville,Kolonia,53/12,16,20-948
Piekary Śląskie,Ville,Sadowa,63,12,03-526
Września,Ville,Zakątek,25,48,42-232
Police,Ville,Krokusowa,53/84,4,09-437
Elbląg,Ville,Orla,296,44,93-084
Sochaczew,Ville,Szarych Szeregów,749,38,43-878
Żywiec,Ville,Korczaka,27,16,77-341
Stalowa Wola,Ville,Rumiankowa,73/10,32,83-313
Żary,Ville,Narutowicza,927,23,39-979
Jasło,Ville,Mickiewicza,25,1,49-180
Nowy Dwór Mazowiecki,Ville,Mieszka I,002,8,21-985
Włocławek,Ville,Polna,68/68,6,77-526
Płońsk,Ville,Turkusowa,94,27,32-946
Grudziądz,Ville,Widokowa,00/16,36,90-893
Białogard,Ville,Staszica,18,1,53-311
Nysa,Ville,Gajowa,353,15,15-188
Kwidzyn,Ville,Targowa,345,16,52-579
Nowa Sól,Ville,Gołębia,309,28,54-628
Ząbki,Ville,Leśna,42,14,70-397
Łuków,Ville,Niecała,20,31,70-888
Gdynia,Ville,Zapolskiej,13/69,8,02-101
Lubliniec,Ville,Łąkowa,06/75,39,17-661
Suwałki,Ville,Przemysłowa,948,20,18-552
Racibórz,Ville,Ogrodowa,47/82,20,56-676
Kielce,Ville,Miarki,369,49,05-287
Reda,Ville,Warszawska,877,17,70-815
Jarosław,Ville,Wilcza,70,1,06-343
Mikołów,Ville,Ceglana,348,13,03-200
Zduńska Wola,Ville,Ciasna,55/37,32,09-810
Gdynia,Ville,Warszawska,16/56,41,57-508
Wyszków,Ville,Zamkowa,13/00,35,25-331
Koło,Ville,Odrzańska,848,47,56-394
Wodzisław Śląski,Ville,Andersa,46,18,22-724
Wodzisław Śląski,Ville,Jaworowa,72,26,54-834
Żory,Ville,Rolnicza,70,32,68-144
Wyszków,Ville,Wybickiego,88/82,10,52-460
Biłgoraj,Ville,Nałkowskiej,71/07,27,41-049
Września,Ville,Bydgoska,427,23,83-959
Poznań,Ville,Żurawia,59/92,46,23-045
Oława,Ville,Popiełuszki,836,49,84-005
Świecie,Ville,Szczęśliwa,20,34,34-893
Bełchatów,Ville,Odrzańska,97/02,30,42-585
Rzeszów,Ville,Cmentarna,58,25,95-629
Środa Wielkopolska,Ville,Pocztowa,391,46,63-663
Mysłowice,Ville,Krasickiego,978,49,87-363
Bielsk Podlaski,Ville,Boczna,994,32,84-880
Reda,Ville,Władysława Jagiełły,26/24,39,13-418
Zambrów,Ville,Makuszyńskiego,799,36,91-944
Koszalin,Ville,Prusa,79,32,37-828
Mława,Ville,Solidarnosci,31/34,18,44-699
Chrzanów,Ville,Daleka,20,16,37-863
Wągrowiec,Ville,Gajowa,057,27,16-605
Brodnica,Ville,Nałkowskiej,55/87,46,30-007
Goleniów,Ville,Klasztorna,15,46,33-445
Skierniewice,Ville,Narutowicza,751,19,67-444
Poznań,Ville,Podgórna,71/01,43,85-557
Chorzów,Ville,Kolonia,09/19,29,72-710
Jarocin,Ville,Orzeszkowej,823,50,29-279
Tarnobrzeg,Ville,Ogrodowa,42/87,24,28-829
Bydgoszcz,Ville,Batalionów Chłopskich,71,12,83-367
Tychy,Ville,Porzeczkowa,53,6,64-419
Łomża,Ville,Żwirki i Wigury,07/09,33,99-597
Suwałki,Ville,Leśna,43/47,31,51-254
Żyrardów,Ville,Ptasia,28,5,34-135
Suwałki,Ville,Żeglarska,055,17,24-744
Bochnia,Ville,Poprzeczna,565,49,86-344
Chojnice,Ville,Częstochowska,33/15,5,26-310
Kutno,Ville,Piwna,41/93,22,56-489
Police,Ville,Reymonta,83,48,67-663
Swarzędz,Ville,Słonecznikowa,67,4,73-451
Jawor,Ville,Mickiewicza,44,26,44-163
Sopot,Ville,Fredry,48,7,01-146
Police,Ville,Srebrna,77,20,53-813
Oława,Ville,Bolesława Krzywoustego,92/39,39,48-809
Września,Ville,Olchowa,03/72,39,80-884
Jelenia Góra,Ville,Brzechwy,24/58,22,73-435
Knurów,Ville,Kolorowa,19/29,1,71-111
Kraków,Ville,Słoneczna,04,6,85-373
Kutno,Ville,Lubelska,61/81,13,07-609
Zawiercie,Ville,Tęczowa,55,37,60-324
Jaworzno,Ville,Grunwaldzka,081,47,37-067
Gorzów Wielkopolski,Ville,Borówkowa,48,21,36-881
